name,miles,map
Bulkley,3.3,https://www.google.com/maps/embed?pb=!1m40!1m12!1m3!1d23451.17891094667!2d-73.23056604889166!3d42.71647956663061!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m25!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0ba60d8b30b5f%3A0x4c0a569503a63457!2sBirch%20Hill%20Brook%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.716746799999996!2d-73.2245516!4m5!1s0x89e0ba4304ed129f%3A0xc94415c861c6e769!2sBulkley%20St%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.721167!2d-73.215233!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628655554509!5m2!1sen!2sus
Gale Road,3.2,https://www.google.com/maps/embed?pb=!1m46!1m12!1m3!1d11727.95330811177!2d-73.21491822468222!3d42.70396793362117!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m31!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0ba0c28abefd1%3A0xccd6d092004e50ad!2sWater%20Street%2C%20Williamstown%2C%20MA!3m2!1d42.7029188!2d-73.2005326!4m5!1s0x89e0b09fe660912d%3A0x71ebcaa6fa148d3f!2s214%20Gale%20Road%2C%20Williamstown%2C%20MA!3m2!1d42.6968981!2d-73.2072338!4m5!1s0x89e0ba74dae82451%3A0xee267de649378791!2sGale%20Road%2C%20Williamstown%2C%20MA!3m2!1d42.700052!2d-73.2088856!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1629954860533!5m2!1sen!2sus
Cozy Corner,4.2,https://www.google.com/maps/embed?pb=!1m46!1m12!1m3!1d23449.36291689694!2d-73.21624931747854!3d42.72128471649277!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m31!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0ba22b8ecb477%3A0x70cae5887d81100a!2sCole%20Ave%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7156011!2d-73.19357459999999!4m5!1s0x89e0ba34334c5a29%3A0x789aa89bc331a920!2sLindley%20Terrace%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7321873!2d-73.2029079!4m5!1s0x89e0ba474c827afd%3A0x7935ea6d533e1c5c!2sNorth%20Street%2C%20Williamstown%2C%20MA!3m2!1d42.721751!2d-73.2077627!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628655618617!5m2!1sen!2sus
Galvin Road,5,https://www.google.com/maps/embed?pb=!1m46!1m12!1m3!1d23453.515407502546!2d-73.20190801750644!3d42.710296516533674!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m31!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0b9efbc8956b7%3A0x1376e807038ea873!2sAshton%20Ave%2C%20North%20Adams%2C%20MA%2001247!3m2!1d42.7028973!2d-73.1685847!4m5!1s0x89e0ba239a055b9b%3A0x1422b3b557dd93f1!2sN%20Hoosac%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7183412!2d-73.1880851!4m5!1s0x89e0ba22b8ecb477%3A0x70cae5887d81100a!2sCole%20Avenue%2C%20Williamstown%2C%20MA!3m2!1d42.7156011!2d-73.19357459999999!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628655668102!5m2!1sen!2sus
Galvin Road Long,7.1,https://www.google.com/maps/embed?pb=!1m52!1m12!1m3!1d23451.151329822027!2d-73.18798409999997!3d42.71655255000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m37!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0b9efbc8956b7%3A0x1376e807038ea873!2sAshton%20Ave%2C%20North%20Adams%2C%20MA%2001247!3m2!1d42.7028973!2d-73.1685847!4m5!1s0x89e0ba239a055b9b%3A0x1422b3b557dd93f1!2sN%20Hoosac%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7183412!2d-73.1880851!4m5!1s0x89e0ba34334c5a29%3A0x789aa89bc331a920!2sLindley%20Terrace%2C%20Williamstown%2C%20MA!3m2!1d42.7321873!2d-73.2029079!4m5!1s0x89e0ba474c827afd%3A0x7935ea6d533e1c5c!2sNorth%20Street%2C%20Williamstown%2C%20MA!3m2!1d42.721751!2d-73.2077627!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628655688666!5m2!1sen!2sus
Blair,5.2,https://www.google.com/maps/embed?pb=!1m40!1m12!1m3!1d23458.72543709584!2d-73.21575053000264!3d42.69650665777628!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m25!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0b0bbf04d081f%3A0xf3b596a9f898ddc9!2sBlair%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.681661999999996!2d-73.199326!4m5!1s0x89e0b0a84368c1a1%3A0xbfcbde310e5d1e44!2sStratton%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.6934675!2d-73.1922505!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628651862367!5m2!1sen!2sus
Blair-Luce,6,https://www.google.com/maps/embed?pb=!1m40!1m12!1m3!1d23458.73684858622!2d-73.19362240000001!3d42.69647645000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m25!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0b0bbf04d081f%3A0xf3b596a9f898ddc9!2sBlair%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.681661999999996!2d-73.199326!4m5!1s0x89e0b9ffc90d76ab%3A0x44363e436d11ba90!2sLuce%20Road%2C%20Williamstown%2C%20MA!3m2!1d42.694084!2d-73.18216799999999!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628791666563!5m2!1sen!2sus
Hederson,6,https://www.google.com/maps/embed?pb=!1m58!1m12!1m3!1d23447.91821863275!2d-73.19524694999997!3d42.7251071!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m43!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0ba22b8ecb477%3A0x70cae5887d81100a!2sCole%20Ave%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7156011!2d-73.19357459999999!4m5!1s0x89e0ba2b7a90e627%3A0x251807c283b2943b!2sHenderson%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.734293!2d-73.184099!4m5!1s0x89e0bbd6e81d3cb9%3A0x7e43df215fa609dc!2sBrook%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.738337699999995!2d-73.18707429999999!4m5!1s0x89e0bbdad73e7bb5%3A0x7894b2b69581f8cd!2sWhite%20Oaks%20Rd%2C%20Williamstown%2C%20MA!3m2!1d42.7398734!2d-73.19129699999999!4m5!1s0x89e0ba474c827afd%3A0x7935ea6d533e1c5c!2sNorth%20Street%2C%20Williamstown%2C%20MA!3m2!1d42.721751!2d-73.2077627!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628655737645!5m2!1sen!2sus
Scott Hill,7.2,"https://www.google.com/maps/embed?pb=!1m46!1m12!1m3!1d23459.196811828246!2d-73.21701670000002!3d42.69525885!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m31!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0ba0c28abefd1%3A0xccd6d092004e50ad!2sWater%20Street%2C%20Williamstown%2C%20MA!3m2!1d42.7029188!2d-73.2005326!4m5!1s0x89e0b05f4793966d%3A0xa4a644f0818d356b!2sScott%20Hill%20Rd%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.677728699999996!2d-73.2309701!4m5!1s0x89e0b089df72f627%3A0x90127889dae3ca3e!2sSweet%20Brook%2C%20Williamstown%2C%20MA!3m2!1d42.687858399999996!2d-73.22927349999999!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628655755095!5m2!1sen!2sus
"
43-7,9.8,https://www.google.com/maps/embed?pb=!1m40!1m12!1m3!1d46924.791951063366!2d-73.22048585!3d42.68678935000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m25!3e2!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%2049%20Driscoll%20Hall%20Dr%2C%20Williamstown%2C%20MA%2001267!3m2!1d42.7103408!2d-73.2015615!4m5!1s0x89e0ba0c28abefd1%3A0xccd6d092004e50ad!2sWater%20Street%2C%20Williamstown%2C%20MA!3m2!1d42.7029188!2d-73.2005326!4m5!1s0x89e0ba6bdab0a5bf%3A0x4f5724fb00125dd2!2sWilliamstown%20Historical%20Museum%2C%20New%20Ashford%20Road%2C%20Williamstown%2C%20MA!3m2!1d42.660050999999996!2d-73.240613!4m5!1s0x89e0ba138d980945%3A0x79d63214bc24b322!2sDriscoll%20Dining%20Hall%2C%20Driscoll%20Dining%20Hall%2C%20Driscoll%20Hall%20Drive%2C%20Williamstown%2C%20MA!3m2!1d42.7103408!2d-73.2015615!5e0!3m2!1sen!2sus!4v1628655769878!5m2!1sen!2sus
